CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Le Street Beauchamp,93,4,49,40,0,29,79,14
4PADEL CAO Saint-Denis,92,4,5,83,0,6,0,92
LE FIVE Colombes,92,10,35,47,0,54,1,91
Classico Foot,88,6,60,22,0,23,86,2
Stade Lilian Thuram,85,11,65,9,0,13,0,85
Stade Déjerine,85,9,54,22,0,10,0,85
MONCLUB 2.0,85,11,38,36,0,32,76,9
Speed Soccer Five,81,11,39,31,0,33,79,2
Halle Georges Carpentier,78,6,48,24,0,12,0,78
KIPSTADIUM,74,5,38,31,0,25,72,2
Massilia Five,72,6,32,34,0,23,71,1
Parc Omnisport Suzanne Lenglen,72,11,40,21,0,19,3,69
Top Ten,70,3,46,21,0,16,0,70
Ecole Elementaire Paul Langevin,70,11,43,16,0,4,0,70
Stade Suzanne Lenglen,64,10,34,20,0,19,0,64
Sportoo,64,7,31,26,0,19,0,64
FC Massy 91,64,49,15,0,0,1,0,64
Foot-Max Argenteuil,63,7,23,33,0,37,60,3
Stade Georges Suant,63,35,18,10,0,2,0,63
Footsal,61,5,40,16,0,12,60,1
UrbanSoccer Marseille La Valentine,60,7,29,24,0,33,58,2
Centre sportif Suzanne Lenglen,58,6,12,40,0,12,0,58
Stade Léo-Lagrange,58,3,28,27,0,4,0,58
FOOT INDOOR Marseille,57,2,37,18,0,22,56,1
GOPARK Pontoise,56,4,42,10,0,18,0,56
Stade Pierre Letessier,56,0,27,29,0,2,0,56
Stade de l'Ile - Stade Billancourt,55,9,31,15,0,8,0,55
UrbanSoccer - Lyon Barolles,54,4,19,31,0,26,53,1
Game 13 foot indoor,53,11,15,27,0,25,51,2
Terrain Fanny,51,11,28,12,0,5,0,51
Massilia Foot Indoor 2,50,2,29,19,0,20,42,8
TOP TEN INDOOR,50,4,26,20,0,23,1,49
Campus Sport dans la Ville Pantin,49,10,17,22,0,10,0,49
BIG5,47,7,15,25,0,22,41,6
LE FIVE Bordeaux,47,19,11,17,0,17,0,47
Skatepark Charonne,46,16,18,12,0,9,0,46
Stade Gilles Joye,46,2,28,16,0,2,0,46
Parc Sainte Barbe,45,10,25,10,0,10,0,45
LE 5 DE LEGENDE,45,9,15,21,0,23,0,45
4PADEL Montreuil,45,8,5,32,0,4,0,45
Parc départemental des sports de Marville,44,3,16,25,0,20,1,43
Footsal Cousinerie,44,3,29,12,0,12,43,1
Sun Set Soccer,43,6,15,22,0,17,41,2
Terrain n°23 du Parc Interdépartemental Des Sports de Choisy,42,10,20,12,0,22,0,42
Parc des Sports Nelson Mandela,42,2,14,26,0,1,0,42
Stade Des Courtilles,42,4,26,12,0,4,1,41
Hall des sports Langevin-Wallon,41,2,30,9,0,1,0,41
LE PARK Servon,41,3,23,15,0,23,37,4
Antony Foot Evolution,41,30,10,1,0,1,0,41
OHSPORT,41,2,12,27,0,19,39,2
KG5 Strasbourg-Mundolsheim,40,5,18,17,0,7,0,40
LE FIVE Vitrolles,39,4,17,18,0,14,39,0
Cité des sports - Foot à 5,39,4,20,15,0,22,0,39
Stade Jacques Lenoble,38,4,26,8,0,6,0,38
Le Street Foot en Salle,38,3,15,20,0,23,36,2
Firefoot,38,8,12,18,0,17,38,0
